Thesen,ÖDP,FRAUENLISTE,DIE FREIHEIT,FDP,DIE FRANKEN,SPD,REP,NPD,CSU,BP,FREIE WÄHLER,PIRATEN,BüSo,DIE LINKE,GRÜNE
Bei Neuvermietungen sollen sich Vermieter an regionale Mietobergrenzen halten müssen.,1,1,1,-1,-1,1,1,1,1,1,1,1,1,1,1
Der Freistaat Bayern soll die Bewerbung Münchens für die olympischen Winterspiele 2022 finanziell unterstützen.,-1,1,1,1,-1,1,0,-1,1,-1,1,0,0,-1,-1
Das Land soll weiterhin Projekte gegen politischen Extremismus fördern.,1,1,1,1,1,1,-1,-1,1,1,1,0,0,0,0
Das Land soll die ökologische Landwirtschaft stärker finanziell fördern.,1,1,-1,-1,1,1,-1,1,0,0,-1,1,0,1,1
Keine Privatisierung von Krankenhäusern!,1,1,0,-1,0,1,1,1,0,1,0,0,1,1,-1
Jeder Schulabsolvent soll einen gesetzlichen Anspruch auf einen Ausbildungsplatz haben.,1,1,-1,-1,1,1,1,-1,0,0,-1,-1,1,1,-1
Vollständige Gleichstellung von Ehe und gleichgeschlechtlicher Lebenspartnerschaft.,-1,1,-1,1,1,1,-1,-1,-1,-1,1,1,-1,1,1
Das Bayerische Landesamt für Verfassungsschutz soll aufgelöst werden.,-1,0,-1,-1,-1,0,1,1,-1,-1,-1,1,-1,1,1
Die wirtschaftlich stärkeren Länder sollen weniger an die wirtschaftlich schwächeren Länder zahlen müssen.,0,0,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1
In die Bayerische Verfassung soll eine Schuldenbremse aufgenommen werden.,1,1,1,1,1,1,1,1,1,1,1,-1,-1,-1,-1
Steuerhinterziehung soll weiterhin bei Selbstanzeige straffrei bleiben.,-1,-1,-1,1,-1,-1,-1,-1,0,1,-1,0,1,-1,0
Einführung einer Frauenquote für Führungspositionen im öffentlichen Dienst!,-1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,-1,0,1,1
Die Erhöhung des gesetzlichen Renteneintrittsalters auf 67 Jahre soll beibehalten werden.,-1,-1,1,1,0,-1,-1,-1,1,-1,-1,0,-1,-1,1
Die finanzielle Unterstützung für einkommensschwache Familien (Landeserziehungsgeld) soll beibehalten werden.,1,1,1,1,1,-1,1,1,1,1,1,-1,1,-1,-1
Mehr Menschen mit Migrationshintergrund sollen im Polizeidienst arbeiten.,1,1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,1
"Bayern soll sich dafür einsetzen, dass alle Studierenden BAföG unabhängig vom Einkommen ihrer Eltern erhalten können.",-1,1,-1,1,-1,1,-1,-1,-1,1,-1,1,-1,1,1
"Der Schutz der ""stillen Tage"" soll beibehalten werden (Tanzverbot).",1,1,-1,-1,1,1,1,0,1,1,1,-1,1,-1,1
Auch der Besitz von nur geringen Mengen Cannabis soll strafrechtlich verfolgt werden.,1,-1,1,-1,0,-1,1,1,1,1,1,-1,1,-1,-1
Das letzte Kindergartenjahr vor der Einschulung soll verpflichtend sein.,-1,1,1,-1,1,-1,-1,-1,-1,-1,1,0,1,1,-1
Bei Landtagswahlen: Wählen ab 16!,1,1,-1,-1,-1,1,-1,-1,-1,-1,-1,1,-1,1,1
Mehr Videoüberwachung auf öffentlichen Plätzen!,0,1,1,-1,1,0,0,-1,1,-1,-1,-1,-1,-1,-1
